star av_mag dist period dist_err
ct_cas 1.22647956e+01 3251.480151 3.81061200 199.664061
ry_cas 10.0818447 3032.985325 12.14000599 137.2985704
dl_cas 9.08599777e+00 1808.847295 8.00106140 98.59730332
bm_per 10.56644204 3472.727057 22.95300088 259.210835
hq_per 1.16910755e+01 4907.080637 8.63806054 556.7330115
sy_aur 9.24928602 2342.932818 10.14495841 109.6847303
bk_aur 9.60971547e+00 2546.225363 8.00249811e+00 96.93124811
#co_aur 8.07859412e+00 951.0686847 1.78301029e+00 19.52223057
cy_aur 12.02227034 4318.264486 13.84949148 387.6881564
er_aur 1.15144882e+01 10443.8615 1.56935792e+01 2107.337716
ew_aur 13.37014469 7953.918882 2.65959647 1114.620448
fw_cas 12.51040081 4325.830623 6.23734605 238.5711378
rw_cam 8.95068794 1401.875369 16.41620399 269.4279875
sz_cas 9.99340876 2677.57639 13.63883934 124.4551855
yz_aur 1.03469986e+01 5175.440401 1.81920083e+01 418.1725859
rx_aur 7.77210177e+00 1617.545534 1.16238910e+01 55.1545845
ap_cas 1.16102463e+01 3843.614464 6.84683656e+00 244.0756383
as_per 9.94769624 1632.67001 4.97268043 42.85378104
dd_cas 9.99560613e+00 3104.388415 9.81280149e+00 125.9608465
gp_per 13.89278573 7960.666372 2.04159221 1237.143774
ot_per 14.73128 4516.491542 26.09354657 527.2199195
