#radius mean_count err_count sky_bkg sum_ap
1.0 22271.  486.85  10108.  69555.
2.0 18412.  63.426  1348.4  0.23015E+06
3.0 10691.  9.2622  647.16  0.30073E+06
4.0 6516.3  3.2809  537.14  0.32587E+06
4.5 5259.9  1.8830  508.61  0.33291E+06
5.0 4319.2  1.1557  499.08  0.33750E+06
5.2 3938.2  1.035  496.22  0.33927E+06
5.5 3605.0  0.9087  492.85  0.34085E+06
6.0 3054.5  0.9006  486.23  0.34369E+06
7.0 2274.0  0.8106  476.50  0.34828E+06
8.0 1755.9  0.72563 472.40  0.35126E+06
9.0 1396.4  0.67698 469.64  0.35353E+06
10.0    1137.5  0.59359 468.00  0.35553E+06
12.0    796.21  0.49700 465.89  0.35837E+06
14.0    587.44  0.43162 465.57  0.35988E+06
16.0    451.24  0.37548 465.36  0.36107E+06
18.0    357.73  0.34183 464.80  0.36228E+06
20.0    290.14  0.29844 464.90  0.36275E+06
