#star A0 T0 phi
ct_cas 1.0 3.81061 0.0
ry_cas 1.0 12.13888 0.0
dl_cas 1.0 8.00067 0.0
bm_per 1.0 22.9519 0.0
hq_per 1.0 8.63793 0.0
sy_aur 1.0 10.1447 0.0
bk_aur 1.0 8.00243 0.0
co_aur 1.0 1.78301 0.0
cy_aur 1.0 13.84765 0.0
er_aur 1.0 15.69073 0.0
ew_aur 1.0 2.65956 0.0
fw_cas 1.0 6.23705 0.0
rw_cam 1.0 16.41481 0.0
sz_cas 1.0 13.63775 0.0
yz_aur 1.0 18.19321 0.0
rx_aur 1.0 11.62354  0.0
ap_cas 1.0 6.847 0.0
as_per 1.0 4.97252 0.0
dd_cas 1.0 9.81203 0.0
gp_per 1.0 2.0416 0.0
ot_per 1.0 26.091 0.0
